"","Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"33","Botswana","BWA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","7577212782.9454","8814612379.5363","9384742853.3524","10223298675.701","9524163331.5083","10934063914.438","11221704666.075","12684429804.642","13629984860.31","14036251894.129","14430211953.875","15383375327.117","14735636414.225","16348379471.645","17004818770.138","18832501287.128","21744475069.916","24170374930.585","25027472580.41","22578442135.673","24386500118.472","27514826801.003","26751802962.084","28413051384.909","31809191936.547","30008539556.478","32863010564.278","32179517469.023","33802099451.577","37318807967.978","35775618276.202","39909918090.237"
"34","Central African Republic","CAF","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","1753798093.5194","1810181050.7148","1733778348.5068","1774224516.1807","1882006917.7695","2071657637.4432","2020888399.0811","2173825782.7599","2295577148.1402","2439314538.0972","2417424124.7063","2597681143.9089","2731476980.176","2652892908.9548","2863010680.6361","2989349235.0636","3227924998.2586","3473342637.8144","3593675341.5847","3961831385.6689","4225957538.3549","4492422406.6179","4910903587.8921","3314143517.7033","3249088436.3807","3580087008.6592","3910067806.777","4409011233.5402","4791013840.3711","5025639523.0984","5044773071.5237","5363599634.4776"
"35","Canada","CAN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","731982858070.99","766978272536.72","817932331774.17","877363047705.32","911387800049.82","946440061399.15","998506176807.97","1060259016664.7","1147390008931.8","1221860598242","1282434850618.6","1322673547258.2","1284496325205.2","1336628963349.8","1403781260484.7","1442044757903.5","1530453431372.5","1595196682591.6","1570419104485.3","1657591887626.4","1743306959310.5","1821483037221","1829899739101.9","1751691789982","1976965299513.3"
"36","Central Europe and the Baltics","CEB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","720399411187.49","754096834027","804764739845.33","867695754871.51","910369538258.59","938743357157.61","979053831798.06","1008349153900.8","1069730495165.5","1145527436322.7","1224503359500.3","1284816195575.5","1382699722132.9","1473778446623.4","1623251108827","1783813423717.1","1996184984603","2003439598842.9","2101005701871","2236498660952.4","2318519659754.1","2398100471514.3","2499059149436.6","2604760803867","2760800400750.1","2961065711725.3","3168747786040.6","3346328340587.8","3376217320200.8","3660537881793.5"
"37","Switzerland","CHE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","221983134605.84","228458325892.3","241954529799.19","252038236167.98","261917507194.22","280872428498.84","284053809073.77","289535805610.14","302917247000.29","315697831193.41","335290413317.62","372634476197.86","388242426240.04","386654931619.79","419924213400.52","452746823122.08","462931080402.26","488946133588.17","513139410443","525827409322.02","553535819250.55","567869043498.81","576143366399.32","585743461088.88","595506035578.95","597423677480.2","659800039810.18"
"38","Channel Islands","CHI","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","Chile","CHL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","56612436959.422","63273186067.013","73802860823.251","82250679449.229","88749926444.089","101551447480.09","113736732831.59","124757742870.52","132186039925.64","132740816648.5","141924707814.1","150631858178.15","156882017088.67","164965904665.45","174970994402.12","188981195876.11","228711518848.63","251050128190.79","254057986121.61","252743553342.14","287919841661.65","318741871183.9","353816711374.16","375186612626.9","385025200182.3","395546267627.69","413012764323.29","433363834230.27","458498081292.87","461944467763.2","449443932455.42","526676509334.37"
"40","China","CHN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","1117071251659.3","1261011339984.4","1470961206174.8","1710476276895.5","1975226688156.7","2205730226797.8","2473080099337.4","2756340466936.9","2991673160464.2","3276058391722","3638846981050","4021977815027","4476515568212.1","5043427337573.7","5722835292878.4","6545682659326.2","7645686952977.1","9006909238726.7","10105251737437","11038634381856","12327139534888","13715341860797","15089408821878","16053445265526","17143013848523","17711827416505","18619312059440","19860975136056","21641064090587","23376229727328","24061577732994","27063466631542"
"41","Cote d'Ivoire","CIV","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","29584616403.163","30969658318.356","31831188175.056","32449886336.876","34161792960.619","37453139449.119","27142268175.444","29717687420.229","31489848242.748","32811203707.588","31593481594.194","31751339763.182","31964849049.989","31703665390.933","34420921509.692","39000296858.392","40895630597.737","42683677986.903","46061032803.12","48329387831.306","51898403215.48","48585323041.888","54762839531.192","59653079619.281","96007042382.634","105692768632.42","110081941651.06","114536013131.39","124295133401.99","135974292291.21","139848429931.11","155901598861.37"
"42","Cameroon","CMR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","22149653547.912","21632383271.161","21552881570.58","20494447564.862","21233664786.416","22235084614.726","23554761111.43","25042810721.139","26790436635.836","28463424871.787","29669205884.85","31405379463.096","33648084574.213","37004325450.018","41162165284.14","43237811773.5","46886691859.895","49786529891.852","52505684248.462","54802798853.371","56752933815.387","59871368065.981","62629408092.093","67829555750.433","74535991977.632","78039557073.303","82998880759.822","88388067006.134","94061101496.242","98793921693.281","100199905236.87","108055271451.57"
